,ID.x,ID.y,similarity
88,Brashard Smith - 143951,Curtis Samuel - 11795,44.65
89,Brashard Smith - 143951,Trey Williams - 9717,44.3
90,Braydon Bennett - 122318,ReMahn Davis - 101072,88.22
91,Braydon Bennett - 122318,Jerome Ford - 83601,84.56
92,Braydon Bennett - 122318,Jeremy McNichols - 11917,83.57
93,Braydon Bennett - 122318,Khalil Herbert - 41668,82.07
94,Braydon Bennett - 122318,JK Dobbins - 57366,80.4
95,Fluff Bothwell - 190075,Myles Gaskin - 45914,83.43
96,Fluff Bothwell - 190075,Darrell Henderson - 41193,73.76
97,Fluff Bothwell - 190075,Tevin Coleman - 9506,69.25
98,Fluff Bothwell - 190075,Kenny McIntosh - 99158,68.85
99,Fluff Bothwell - 190075,Eno Benjamin - 57136,68.31
100,Bhayshul Tuten - 150568,Ameer Abdullah - 9487,90.26
101,Bhayshul Tuten - 150568,Chase Brown - 77787,80.05
102,Bhayshul Tuten - 150568,Jaylen Wright - 146934,63.27
103,Bhayshul Tuten - 150568,Chuba Hubbard - 57373,60.77
104,Bhayshul Tuten - 150568,Tyrone Tracy - 84226,60.1
105,Darius Taylor - 173422,Myles Gaskin - 45914,74.79
106,Darius Taylor - 173422,Darrell Henderson - 41193,72.74
107,Darius Taylor - 173422,Tevin Coleman - 9506,70.23
108,Darius Taylor - 173422,JK Dobbins - 57366,64.07
109,Darius Taylor - 173422,Eno Benjamin - 57136,62.96
110,Ollie Gordon - 157792,Brian Robinson - 57120,77.84
111,Ollie Gordon - 157792,Ryan Nall - 45753,67.43
112,Ollie Gordon - 157792,CJ Prosise - 10724,65.13
113,Ollie Gordon - 157792,Jordan Howard - 10784,64.89
114,Ollie Gordon - 157792,Josh Jacobs - 45953,62.23
115,LeQuint Allen - 158290,Kenny McIntosh - 99158,79.73
116,LeQuint Allen - 158290,Myles Gaskin - 45914,78.54
117,LeQuint Allen - 158290,Tevin Coleman - 9506,74.45
118,LeQuint Allen - 158290,Darrell Henderson - 41193,71.99
119,LeQuint Allen - 158290,Eno Benjamin - 57136,67.69
120,Bryson Washington - 174649,Eno Benjamin - 57136,93.66
121,Bryson Washington - 174649,Kenny McIntosh - 99158,79.12
122,Bryson Washington - 174649,Tyrone Tracy - 84226,78.05
123,Bryson Washington - 174649,Darrell Henderson - 41193,77.36
124,Bryson Washington - 174649,Clyde EdwardsHelaire - 57279,77.26
125,Marion Lukes - 145697,Darrell Henderson - 41193,95.05
126,Marion Lukes - 145697,JK Dobbins - 57366,89.38
127,Marion Lukes - 145697,ReMahn Davis - 101072,85.09
128,Marion Lukes - 145697,Tank Bigsby - 123974,79.62
129,Marion Lukes - 145697,Myles Gaskin - 45914,78.43
130,Tre Stewart - 160817,Josh Adams - 45662,83.77
