ID.x,Last_Season,predicted_label,min_label,mean_label,max_label,Seasons,Attempts,ForcedMissedTackleRate,ExplosiveRate,TDP,YardsAfterContact,YPRR,WAR,RushWAR,RecWAR,best_Attempts,best_ForcedMissedTackleRate,best_ExplosiveRate,best_TDP,best_YardsAfterContact,best_YPRR,best_WAR,best_RushWAR,best_RecWAR,worst_Attempts,worst_ForcedMissedTackleRate,worst_ExplosiveRate,worst_TDP,worst_YardsAfterContact,worst_YPRR,worst_WAR,worst_RushWAR,worst_RecWAR,Strength_Power 5,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y
Ashton Jeanty - 157196,2024,69.33,59.72,67.44,76.71,3,0.9886518384021789,0.9845665002269632,0.8011802088061734,0.8147980027235587,0.9804811620517476,0.9154160982264665,0.9829231541938724,0.8754623921085081,0.9753390875462392,0.9995460735360872,0.9791193826600091,0.6613708579210168,0.7916477530640036,0.9836586472991375,0.9717796995903505,0.9933909506863243,0.9840075258701787,0.9896519285042333,0.9369042215161144,0.9591466182478439,0.8261461643213799,0.7485247389922832,0.9473445301861099,0.4988620846609012,0.9389933909506863,0.9840075258701787,0.9896519285042333,0,68.5,211.0,29.25,72.75,19.6,1.536,4.4879999999999995,35.3,119.8,7.090000000000001,4.32,4.42
RJ Harvey - 99622,2024,55.03,50.45,55.12,58.59,3,0.9437131184748071,0.9514298683613255,0.9432591920108943,0.8824330458465729,0.8692691783931004,0.8549340609367895,0.9537920642893019,0.842170160295931,0.9340320591861899,0.9223785746709033,0.9019518837948253,0.9314571039491603,0.9092147072174308,0.7916477530640036,0.8261265361857077,0.9247585155058464,0.7873941674506115,0.896519285042333,0.8683613254652747,0.9568769859282796,0.9396277802995915,0.7294598275079437,0.9046754425783023,0.8711879836140192,0.9705134722928317,0.7873941674506115,0.896519285042333,1,68.0,205.0,29.0,71.25,16.0,1.57,4.4,38.0,127.0,7.034000000000001,4.34,4.49
Omarion Hampton - 162750,2024,54.99,52.84,55.61,59.42,3,0.9632319564230595,0.7916477530640036,0.6745347253744893,0.828869723104857,0.8651838402178847,0.6293769895407003,0.9653440482169764,0.8249075215782984,0.9531442663378545,0.9759418974126192,0.813890149795733,0.5832955061280073,0.8034498411257376,0.9046754425783023,0.7023213472917615,0.9700050838840875,0.8297271872060207,0.9539040451552211,0.7775760326827054,0.6114389468906037,0.7417158420335905,0.8206990467544257,0.3218338629142079,0.5525716886663632,0.4799186578546009,0.8297271872060207,0.9539040451552211,1,71.75,221.0,30.5,74.75,18.0,1.54,4.46,38.0,130.0,7.029999999999999,4.4,4.44
CJ Campbell - 143876,2024,52.46,50.35,55.24,63.15,1,0.9010440308669996,0.9872900590104403,0.6559237403540626,0.8538356786200636,0.9387199273717658,0.956343792633015,0.987945755901557,0.9845869297163995,0.9852034525277436,0.781661370857921,0.9477984566500227,0.47208352246936,0.6563776668179755,0.8347707671357241,0.9076012744651798,0.9461108286731063,0.9435559736594544,0.9350893697083725,0.9496141625056741,0.9909214707217431,0.7880163413527008,0.9001361779391739,0.958692691783931,0.9699590350477925,0.9944077275038129,0.9435559736594544,0.9350893697083725,0,69.751,208.8,30.45,74.076,12.8,1.5500000000000003,4.491999999999999,34.8,119.4,7.116,4.34,4.465999999999999
Daylan Smothers - 173719,2024,52.44,45.55,51.32,54.65,1,0.5869269178393101,0.9546073536087154,0.9691330004539265,0.8610985020426691,0.9759418974126192,0.9627103228740337,0.952787543947765,0.9469790382244143,0.9408138101109741,0.46799818429414436,0.8887880163413527,0.9101225601452565,0.6718111665910123,0.9282796187017703,0.921256258534365,0.8683274021352313,0.8720602069614299,0.8334901222953904,0.7775760326827054,0.9718565592374036,0.9750340444847935,0.9069450748978666,0.9832047208352247,0.9749658625398271,0.9811896288764617,0.8720602069614299,0.8334901222953904,1,70.4,214.8,30.975,75.025,17.4,1.53,4.441999999999999,38.3,125.0,6.978,4.208,4.492
Cameron Skattebo - 147787,2024,49.63,45.98,51.74,57.82,2,0.9773036768043577,0.976395823876532,0.6168860644575579,0.8238765320018157,0.8411257376305039,0.8840381991814461,0.9779005524861878,0.7102342786683107,0.9660912453760789,0.9845665002269632,0.9319110304130731,0.5315478892419429,0.7135724012709941,0.8529278256922379,0.868456986800182,0.9954245043213015,0.9642521166509878,0.9924741298212606,0.9491602360417613,0.9818429414434862,0.6831593281888334,0.8334089877439855,0.7267362687244666,0.8611743286299499,0.11896288764616167,0.9642521166509878,0.9924741298212606,1,69.5,219.0,29.875,73.875,21.0,1.55,4.556,39.5,123.0,7.056,4.24,4.59
Seth McGowan - 122936,2024,47.36,43.25,50.1,58.5,2,0.693145710394916,0.9314571039491603,0.8815251929187472,0.39128461189287334,0.8143440762596459,0.9804456571168713,0.9412355600200905,0.9445129469790382,0.9173859432799013,0.7503404448479346,0.8515660463004994,0.8588288697231049,0.47571493418066274,0.7526100771674988,0.9813381884387802,0.9232333502796136,0.9285042333019755,0.8984007525870179,0.5565138447571494,0.9573309123921925,0.8397639582387654,0.33999092147072174,0.807989105764866,0.9467455621301775,0.9273004575495679,0.9285042333019755,0.8984007525870179,0,69.775,197.8,30.55,73.175,15.2,1.566,4.54,35.5,121.4,7.093999999999999,4.314,4.454
Jonah Coleman - 158717,2024,47.27,40.81,46.32,50.01,3,0.8061733999092147,0.9777576032682705,0.8565592374035407,0.6250567408079891,0.9546073536087154,0.5738972260118236,0.9382219989954796,0.7028360049321825,0.906905055487053,0.8470267816613709,0.9432591920108943,0.82296867907399,0.4943259192010894,0.9782115297321834,0.7246244879380974,0.9445856634468734,0.8777046095954845,0.9172154280338665,0.6895142986836132,0.9795733091239219,0.7957330912392192,0.6836132546527462,0.7380844303222878,0.2690031861629495,0.45805795627859686,0.8777046095954845,0.9172154280338665,1,71.35,215.0,31.825,76.7,19.8,1.548,4.458,36.4,125.6,7.090000000000001,4.2459999999999996,4.444
Jeremiyah Love - 171090,2024,46.3,37.76,45.0,51.53,2,0.7435315478892419,0.9795733091239219,0.6949614162505674,0.7793917385383567,0.9518837948252383,0.8667576170986813,0.9502762430939227,0.9704069050554871,0.9876695437731196,0.7721289151157512,0.9745801180208806,0.5283704039945529,0.9464366772582842,0.9128461189287336,0.8015475648611743,0.9593289273004576,0.5653809971777987,0.658513640639699,0.669541534271448,0.946890603722197,0.8016341352700862,0.2555605991829324,0.9455288243304585,0.8875739644970414,0.8464667005592272,0.5653809971777987,0.658513640639699,1,69.4,210.6,30.625,73.725,18.0,1.54,4.51,34.5,122.2,6.954000000000001,4.1899999999999995,4.444
Quinshon Judkins - 157128,2024,43.82,41.55,45.42,49.33,3,0.988197911938266,0.8039037675896504,0.6699954607353609,0.8120744439400817,0.6808896958692692,0.5247839927239655,0.9306880964339528,0.5739827373612824,0.8995067817509248,0.9714026327734907,0.7172038129822969,0.5279164775306401,0.7312755333635951,0.5860190649114844,0.5657715065999089,0.9191662430096594,0.8156161806208843,0.883349012229539,0.9727644121652292,0.8243304584657285,0.784384929641398,0.8361325465274626,0.7380844303222878,0.5716886663632226,0.7788510421962379,0.8156161806208843,0.883349012229539,1,71.625,221.0,30.25,73.5,20.2,1.51,4.48,38.5,132.0,7.044,4.292,4.52
