ID.x,Seasons,Attempts,ForcedMissedTackleRate,ExplosiveRate,TDP,YardsAfterContact,YPRR,WAR,RushWAR,RecWAR,best_Attempts,best_ForcedMissedTackleRate,best_ExplosiveRate,best_TDP,best_YardsAfterContact,best_YPRR,best_WAR,best_RushWAR,best_RecWAR,worst_Attempts,worst_ForcedMissedTackleRate,worst_ExplosiveRate,worst_TDP,worst_YardsAfterContact,worst_YPRR,worst_WAR,worst_RushWAR,worst_RecWAR,Strength_Power 5,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y
Akrum Wadley - 28564,4,0.8161597821152973,0.6899682251475261,0.7703132092600998,0.6981389014979573,0.601906491148434,0.9408822191905412,0.9251632345554998,0.9815043156596794,0.9759556103575833,0.9505220154334998,0.8742623694961417,0.8143440762596459,0.8406718111665911,0.8402178847026782,0.9863450159308147,0.951194712760549,0.5653809971777987,0.658513640639699,0.1979119382660009,0.4171584203359056,0.5229232864275988,0.5256468452110759,0.28778937812074445,0.01137915339098771,0.5658362989323843,0.5653809971777987,0.658513640639699,1,69.875,194.0,29.5,71.625,12.0,1.56,4.54,32.0,117.8,7.053999999999999,4.286,4.4719999999999995
AlJay Henderson - 145676,2,0.8048116205174761,0.23558783477076714,0.40717203812982294,0.6128007262823423,0.41625056740807986,0.7276034561164165,0.837769964841788,0.7589395807644883,0.7540073982737361,0.8710848842487517,0.39854743531547887,0.5274625510667272,0.46482069904675444,0.6650022696323196,0.6923076923076923,0.7920691408235893,0.6406396989651929,0.6792097836312324,0.5642305946436678,0.10894235133908307,0.3000453926463913,0.7408079891057648,0.15433499773036768,0.6936731907146109,0.8307066598881545,0.6406396989651929,0.6792097836312324,0,70.55,221.2,31.026,74.426,18.2,1.6320000000000001,4.6659999999999995,33.6,116.2,7.109999999999999,4.3180000000000005,4.5600000000000005
Alex Collins - 10805,2,0.9827507943713119,0.5279164775306401,0.6295960054471176,0.8529278256922379,0.6736268724466636,0.14279217826284674,0.6705173279758915,0.28976572133168926,0.5413070283600493,0.9677712210621879,0.4398547435315479,0.5174761688606446,0.746255106672719,0.5860190649114844,0.17114246700045516,0.5348246059989832,0.26152398871119475,0.39416745061147695,0.9791193826600091,0.6423059464366773,0.7144802541988198,0.8642759872900591,0.7267362687244666,0.2212107419208011,0.771733604473818,0.26152398871119475,0.39416745061147695,1,70.0,217.0,30.25,72.375,18.0,1.55,4.59,28.5,113.0,7.106,4.28,4.536
Alex Tecza - 162587,2,0.7793917385383567,0.33908306854289605,0.3159328188833409,0.6831593281888334,0.5678620063549705,0.9499772623919963,0.7639377197388247,0.5110974106041923,0.6270036991368682,0.6364049024058103,0.3427144802541988,0.2850658193372674,0.6427598729005901,0.44303222877893783,0.9781520254893036,0.5856634468734113,0.5653809971777987,0.658513640639699,0.8842487517022243,0.3990013617793917,0.4126191556967771,0.6867907399001362,0.6976849750340445,0.6868456986800182,0.8759532282663955,0.5653809971777987,0.658513640639699,0,70.301,218.8,31.325,75.601,19.4,1.6280000000000001,4.6579999999999995,36.1,119.8,7.206,4.3,4.554
Alexander Mattison - 45817,3,0.9482523831139356,0.6014525646845211,0.4775306400363141,0.7539718565592374,0.5533363595097595,0.6643929058663028,0.6770467101958815,0.14858199753390874,0.5672009864364982,0.988197911938266,0.5492510213345438,0.4017249205628688,0.5755787562414889,0.5056740807989106,0.6053709604005462,0.7503812913065582,0.5653809971777987,0.658513640639699,0.6350431230140717,0.6831593281888334,0.6128007262823423,0.8433953699500681,0.64593735814798,0.5584888484296768,0.2846975088967972,0.5653809971777987,0.658513640639699,0,70.625,221.0,31.0,76.25,22.0,1.51,4.67,35.0,127.0,7.13,4.29,4.536
Alvin Kamara - 11822,2,0.6849750340444848,0.9886518384021789,0.9005901044030867,0.9192010894235134,0.8951429868361326,0.9749886311959982,0.9849321948769463,0.9944512946979038,0.9765721331689272,0.5460735360871539,0.9782115297321834,0.7848388561053109,0.8774398547435316,0.7621425329096686,0.9508420573509331,0.9501779359430605,0.9811853245531514,0.9190968955785512,0.8279618701770313,0.9804811620517476,0.929187471629596,0.8992283250113482,0.9319110304130731,0.9781520254893036,0.9918657854600915,0.9811853245531514,0.9190968955785512,1,70.25,214.0,32.75,78.25,15.0,1.54,4.56,39.5,131.0,7.1,4.21,4.484
Amani Givens - 189819,1,0.48660916931457104,0.33136631865637767,0.28778937812074445,0.2342260553790286,0.548797094870631,0.4138244656662119,0.6629834254143646,0.6615289765721332,0.6011097410604193,0.3890149795733091,0.2528370403994553,0.20926009986382207,0.17703132092600998,0.39037675896504764,0.29904415111515703,0.46568378240976105,0.4082784571966134,0.40169332079021636,0.6958692691783931,0.5111211983658648,0.48161597821152974,0.45528824330458467,0.7190195188379482,0.6149294492489759,0.820538891713269,0.4082784571966134,0.40169332079021636,0,72.675,242.8,31.95,76.625,20.2,1.6600000000000001,4.692,31.4,115.6,7.284000000000001,4.41,4.6000000000000005
Amari Daniels - 146991,3,0.6132546527462551,0.30049931911030414,0.40898774398547433,0.44802541988197914,0.6232410349523377,0.20554797635288768,0.10848819688598695,0.14180024660912455,0.15228113440197288,0.6867907399001362,0.33999092147072174,0.4212437585111212,0.5542442124375851,0.5483431684067182,0.29904415111515703,0.1337061514997458,0.5653809971777987,0.658513640639699,0.2573763050385838,0.22560145256468453,0.38447571493418065,0.0,0.6146164321379937,0.12380518889394629,0.1525165226232842,0.5653809971777987,0.658513640639699,1,70.8,213.0,31.075,74.551,20.6,1.536,4.499999999999999,35.0,122.2,7.1899999999999995,4.254,4.531999999999999
Ameer Abdullah - 9487,1,0.9918293236495688,0.7085792101679528,0.8329550612800726,0.896958692691784,0.6032682705401725,0.7753524329240564,0.9964841788046208,0.9568434032059187,0.9950678175092479,0.9632319564230595,0.566500226963232,0.6672719019518838,0.7276441216522923,0.4380390376758965,0.5999089667728721,0.9766141331977631,0.8974600188146754,0.967074317968015,0.994098955969133,0.8197911938266,0.8974126191556968,0.926463912846119,0.7562414888788016,0.8566226672735548,0.9979664463650229,0.8974600188146754,0.967074317968015,1,68.75,205.0,30.0,72.0,24.0,1.6,4.6,42.5,130.0,6.79,3.95,4.444
Anderson Castle - 122234,4,0.21516114389468907,0.8847026781661371,0.9305492510213346,0.6436677258284158,0.9187471629596006,0.4756707594361073,0.6825715720743345,0.5110974106041923,0.6270036991368682,0.24738992283250114,0.9378120744439401,0.9795733091239219,0.7780299591466182,0.911484339536995,0.7560309512972235,0.6736146415861718,0.5653809971777987,0.658513640639699,0.029505220154335,0.6981389014979573,0.7221970040853382,0.34407625964593735,0.9010440308669996,0.023668639053254437,0.655821047280122,0.5653809971777987,0.658513640639699,0,69.2,205.8,30.275,73.825,19.2,1.56,4.58,35.4,120.4,7.022,4.226,4.505999999999999
